last_name,state,party,votes,votes_for,votes_against,vote_percentage,gdp
Kelly,IL,D,244,26,218,0.10655737704918032,67268
Kelly,MS,R,244,230,14,0.9426229508196722,37948
Kelly,PA,R,244,236,7,0.9672131147540984,61594
Kennedy,MA,D,228,30,198,0.13157894736842105,82480
Khanna,CA,D,242,30,212,0.12396694214876033,74205
Kihuen,NV,D,188,42,146,0.22340425531914893,55269
Kildee,MI,D,240,38,202,0.15833333333333333,53209
Kilmer,WA,D,244,54,190,0.22131147540983606,74182
Kim,NJ,D,54,0,54,0.0,69378
Kind,WI,D,236,60,176,0.2542372881355932,57720
King,IA,R,240,222,18,0.925,59977
King,NY,R,242,202,40,0.8347107438016529,85746
Kinzinger,IL,R,244,228,16,0.9344262295081968,67268
Kirkpatrick,AZ,D,54,0,54,0.0,48055
Knight,CA,R,190,188,1,0.9894736842105265,74205
Krishnamoorthi,IL,D,244,50,194,0.20491803278688525,67268
Kuster,NH,D,242,70,172,0.2892561983471074,63067
Kustoff,TN,R,242,228,14,0.9421487603305785,53933
LaHood,IL,R,244,232,12,0.9508196721311475,67268
LaMalfa,CA,R,244,230,14,0.9426229508196722,74205
Labrador,ID,R,166,138,28,0.8313253012048193,43430
Lamb,PA,D,104,34,70,0.3269230769230769,61594
Lamborn,CO,R,246,230,15,0.9349593495934959,63882
Lance,NJ,R,192,166,26,0.8645833333333334,69378
Langevin,RI,D,242,52,190,0.21487603305785125,57852
Larsen,WA,D,244,42,202,0.1721311475409836,74182
Larson,CT,D,236,48,188,0.2033898305084746,76342
Latta,OH,R,246,236,9,0.959349593495935,57492
Lawrence,MI,D,240,34,206,0.14166666666666666,53209
Lawson,FL,D,232,68,164,0.29310344827586204,48318
Lee,CA,D,242,18,224,0.0743801652892562,74205
Lee,NV,D,54,0,54,0.0,55269
Lesko,AZ,R,104,100,4,0.9615384615384616,48055
Levin,CA,D,54,0,54,0.0,74205
Levin,MI,D,244,34,210,0.13934426229508198,53209
Lewis,GA,D,240,20,220,0.08333333333333333,55832
Lewis,MN,R,186,167,18,0.9032258064516128,64675
Lieu,CA,D,232,36,196,0.15517241379310345,74205
Lipinski,IL,D,240,76,164,0.31666666666666665,67268
LoBiondo,NJ,R,192,158,34,0.8229166666666666,69378
Loebsack,IA,D,244,68,176,0.2786885245901639,59977
Lofgren,CA,D,244,36,208,0.14754098360655737,74205
Long,MO,R,230,216,13,0.9391304347826087,51699
Loudermilk,GA,R,236,214,22,0.9067796610169492,55832
Love,UT,R,188,180,8,0.9574468085106383,55550
Lowenthal,CA,D,238,30,208,0.12605042016806722,74205
Lowey,NY,D,242,36,206,0.1487603305785124,85746
Lucas,OK,R,246,240,5,0.975609756097561,50613
Luetkemeyer,MO,R,242,236,5,0.975206611570248,51699
Lujan Grisham,NM,D,176,44,132,0.25,46954
Luján,NM,D,244,34,210,0.13934426229508196,46954
Luria,VA,D,54,0,54,0.0,62563
Lynch,MA,D,240,58,182,0.24166666666666667,82480
MacArthur,NJ,R,192,182,10,0.9479166666666666,69378
Malinowski,NJ,D,54,0,54,0.0,69378
Maloney,NY,D,480,98,382,0.20416666666666666,85746
Marchant,TX,R,242,230,11,0.950413223140496,61167
Marino,PA,R,192,188,4,0.9791666666666666,61594
Marshall,KS,R,242,238,4,0.9834710743801653,56334
Massie,KY,R,240,158,82,0.6583333333333333,46898
Mast,FL,R,232,214,17,0.9224137931034483,48318
Matsui,CA,D,244,34,210,0.13934426229508196,74205
McAdams,UT,D,54,2,52,0.037037037037037035,55550
McBath,GA,D,54,0,54,0.0,55832
McCarthy,CA,R,242,238,4,0.9834710743801653,74205
McCaul,TX,R,246,240,5,0.975609756097561,61167
McClintock,CA,R,244,206,38,0.8442622950819673,74205
McCollum,MN,D,242,32,210,0.1322314049586777,64675
McEachin,VA,D,230,38,192,0.16521739130434782,62563
McGovern,MA,D,242,26,216,0.10743801652892562,82480
McHenry,NC,R,242,236,5,0.9752066115702479,54441
McKinley,WV,R,246,238,8,0.967479674796748,43053
McMorris Rodgers,WA,R,246,236,9,0.959349593495935,74182
McNerney,CA,D,234,36,198,0.15384615384615385,74205
McSally,AZ,R,96,93,3,0.96875,48055
Meadows,NC,R,240,214,26,0.8916666666666667,54441
Meehan,PA,R,142,126,16,0.8873239436619719,61594
Meeks,NY,D,238,44,194,0.18487394957983194,85746
Meng,NY,D,238,38,200,0.15966386554621848,85746
Messer,IN,R,184,174,9,0.9456521739130437,55172
Meuser,PA,R,52,50,2,0.9615384615384616,61594
Miller,WV,R,54,54,0,1.0,43053
Mitchell,MI,R,246,238,8,0.967479674796748,53209
Moolenaar,MI,R,246,240,5,0.975609756097561,53209
Mooney,WV,R,246,212,34,0.8617886178861789,43053
Moore,WI,D,236,20,216,0.0847457627118644,57720
Morelle,NY,D,60,4,56,0.06666666666666667,85746
Moulton,MA,D,240,43,196,0.18333333333333326,82480
Mucarsel-Powell,FL,D,54,0,54,0.0,48318
Mullin,OK,R,242,226,16,0.9338842975206612,50613
Murphy,FL,D,244,96,148,0.39344262295081966,48318
Murphy,PA,R,96,94,2,0.9791666666666666,61594
Nadler,NY,D,238,31,206,0.13445378151260504,85746
Napolitano,CA,D,216,26,190,0.12037037037037036,74205
Neal,MA,D,238,38,200,0.15966386554621848,82480
Neguse,CO,D,54,0,54,0.0,63882
Newhouse,WA,R,234,222,11,0.9487179487179488,74182
Noem,SD,R,180,166,13,0.9222222222222224,58624
Nolan,MN,D,180,50,130,0.2777777777777778,64675
Norcross,NJ,D,238,38,200,0.15966386554621848,69378
